username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
AlanHoKT;2017-10-02 02:15;0;0;". @TIBCO 's @LouBajuk spoke at #EARL2017 London on the great work done by the @rconsortium to benefit the R community: http:// tibco.cm/2fIwWPG pic.twitter.com/wLldlx1NI4";;@TIBCO @LouBajuk @rconsortium;#EARL2017;"914660062034931712";https://twitter.com/AlanHoKT/status/914660062034931712
johnon2;2017-09-23 16:02;0;0;". @TIBCO 's @LouBajuk spoke at #EARL2017 London on the great work done by the @rconsortium to benefit the R community: http:// tibco.cm/2xq6a2R pic.twitter.com/xw1nAgOKNq";;@TIBCO @LouBajuk @rconsortium;#EARL2017;"911606693393457154";https://twitter.com/johnon2/status/911606693393457154
AndySugs;2017-09-21 22:19;0;1;"RT: LearnRinaDay: EARL London 2017 – That’s a wrap! https://www. r-bloggers.com/earl-london-20 17-thats-a-wrap/ … #rstats #EARL2017 #programming #BigData #OpenSource #coding #D …";;;#rstats #EARL2017 #programming #BigData #OpenSource #coding #D;"910976736862654464";https://twitter.com/AndySugs/status/910976736862654464
LearnRinaDay;2017-09-21 22:17;3;6;"EARL London 2017 – That’s a wrap! https://www. r-bloggers.com/earl-london-20 17-thats-a-wrap/ … #rstats #EARL2017 #programming #BigData #OpenSource #coding #DataScience #DataViz";;;#rstats #EARL2017 #programming #BigData #OpenSource #coding #DataScience #DataViz;"910976256493092864";https://twitter.com/LearnRinaDay/status/910976256493092864
LouBajuk;2017-09-20 23:15;0;0;". @TIBCO 's @LouBajuk spoke at #EARL2017 London on the great work done by the @rconsortium to benefit the R community: http:// tibco.cm/2xi6sZD pic.twitter.com/8ypyfnvWmj";;@TIBCO @LouBajuk @rconsortium;#EARL2017;"910628499316105216";https://twitter.com/LouBajuk/status/910628499316105216
pjevrard;2017-09-20 13:02;0;0;". @TIBCO 's @LouBajuk spoke at #EARL2017 London on the great work done by the @rconsortium to benefit the R community: http:// tibco.cm/2wy7Xpr pic.twitter.com/h7K3KHVapg";;@TIBCO @LouBajuk @rconsortium;#EARL2017;"910474272501506050";https://twitter.com/pjevrard/status/910474272501506050
tombee74;2017-09-18 18:11;1;2;". @TIBCO 's @LouBajuk spoke at #EARL2017 London on the great work done by the @rconsortium to benefit the R community: http:// tibco.cm/2ykxEXz pic.twitter.com/sathU6vYr4";;@TIBCO @LouBajuk @rconsortium;#EARL2017;"909827319392432128";https://twitter.com/tombee74/status/909827319392432128
LeoLeoThePewPew;2017-09-18 10:53;0;0;". @TIBCO 's @LouBajuk spoke at #EARL2017 London on the great work done by the @rconsortium to benefit the R community: http:// tibco.cm/2y8DESx pic.twitter.com/nGibBD4G3L";;@TIBCO @LouBajuk @rconsortium;#EARL2017;"909716954872606725";https://twitter.com/LeoLeoThePewPew/status/909716954872606725
RJStriano;2017-09-18 02:45;0;0;". @TIBCO 's @LouBajuk spoke at #EARL2017 London on the great work done by the @rconsortium to benefit the R community: http:// tibco.cm/2y7Af6q pic.twitter.com/5X9riObuNY";;@TIBCO @LouBajuk @rconsortium;#EARL2017;"909594192736698368";https://twitter.com/RJStriano/status/909594192736698368
rachelhilll;2017-09-15 17:02;0;0;". @TIBCO 's @loubajuk will be discussing how the @RConsortium helps create vital infrastructure for the R community at #London #EARL2017 . pic.twitter.com/gw7aejx4Ua";;@TIBCO @loubajuk @RConsortium;#London #EARL2017;"908722826340851712";https://twitter.com/rachelhilll/status/908722826340851712
erich_gerber;2017-09-15 07:46;0;1;". @TIBCO 's @LouBajuk spoke at #EARL2017 London on the great work done by the @rconsortium to benefit the R community: http:// tibco.cm/2fnnHRi pic.twitter.com/XS78v0nY6c";;@TIBCO @LouBajuk @rconsortium;#EARL2017;"908582707264753664";https://twitter.com/erich_gerber/status/908582707264753664
MunjalVaidya;2017-09-15 05:27;0;1;". @TIBCO 's @LouBajuk spoke at #EARL2017 London on the great work done by the @rconsortium to benefit the R community: http:// tibco.cm/2h5LHbI pic.twitter.com/qYPGasaU4Q";;@TIBCO @LouBajuk @rconsortium;#EARL2017;"908547921531961351";https://twitter.com/MunjalVaidya/status/908547921531961351
erich_gerber;2017-09-15 04:48;0;1;". @TIBCO 's @LouBajuk spoke at #EARL2017 London on the great work done by the @rconsortium to benefit the R community: http:// tibco.cm/2h6mRZw pic.twitter.com/PYEXieO7eK";;@TIBCO @LouBajuk @rconsortium;#EARL2017;"908537865872728064";https://twitter.com/erich_gerber/status/908537865872728064
andrew_weekm;2017-09-15 02:58;0;1;". @TIBCO 's @LouBajuk spoke at #EARL2017 London on the great work done by the @rconsortium to benefit the R community: http:// tibco.cm/2h5dIQB pic.twitter.com/EOMFVDn86W";;@TIBCO @LouBajuk @rconsortium;#EARL2017;"908510422570909697";https://twitter.com/andrew_weekm/status/908510422570909697
LeoLeoThePewPew;2017-09-15 02:37;0;1;". @TIBCO 's @loubajuk will be discussing how the @RConsortium helps create vital infrastructure for the R community at #London #EARL2017 . pic.twitter.com/5mpcxH7zOP";;@TIBCO @loubajuk @RConsortium;#London #EARL2017;"908505140243578880";https://twitter.com/LeoLeoThePewPew/status/908505140243578880
wyattcadetucker;2017-09-14 19:30;0;0;". @TIBCO 's @LouBajuk spoke at #EARL2017 London on the great work done by the @rconsortium to benefit the R community: http:// tibco.cm/2vWxqnT pic.twitter.com/PLJX6s2JUR";;@TIBCO @LouBajuk @rconsortium;#EARL2017;"908397588398739456";https://twitter.com/wyattcadetucker/status/908397588398739456
djeda1959;2017-09-14 16:42;3;3;". @TIBCO 's @LouBajuk spoke at #EARL2017 London on the great work done by the @rconsortium to benefit the R community: http:// tibco.cm/2y8Qvor pic.twitter.com/uJnD76HkFe";;@TIBCO @LouBajuk @rconsortium;#EARL2017;"908355379075047424";https://twitter.com/djeda1959/status/908355379075047424
G0RAN_J0HANSS0N;2017-09-14 16:15;0;0;". @TIBCO 's @LouBajuk spoke at #EARL2017 London on the great work done by the @rconsortium to benefit the R community: http:// tibco.cm/2wc3zMH pic.twitter.com/4BbMvUiWRH";;@TIBCO @LouBajuk @rconsortium;#EARL2017;"908348485782474752";https://twitter.com/G0RAN_J0HANSS0N/status/908348485782474752
LouBajuk;2017-09-14 14:34;1;3;"Dan Thompson from Kluster Intelligence, on using R in sales to win more business #EARL2017 pic.twitter.com/iYZnqdmWBW";;;#EARL2017;"908323024511922177";https://twitter.com/LouBajuk/status/908323024511922177
TIBCO;2017-09-14 13:42;2;4;". @TIBCO 's @LouBajuk spoke at #EARL2017 London on the great work done by the @rconsortium to benefit the R community: http:// tibco.cm/2wYijOC pic.twitter.com/BGnwvNgYak";;@TIBCO @LouBajuk @rconsortium;#EARL2017;"908309917039251456";https://twitter.com/TIBCO/status/908309917039251456
