username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
nibrivia;2017-10-16 03:46;0;0;"Go go go! (Although maybe I shouldn't encourage my competition too much...) #EARLConf https:// twitter.com/earlconf/statu s/919510170165760001 …";;;#EARLConf;"919756429447385088";https://twitter.com/nibrivia/status/919756429447385088
kosinski_rblog;2017-10-16 00:23;1;7;"#EARLConf I organized Polish R Conf for 200 ppl last mnth! http:// fb.me/whyRconf Show me how you organize a conf so we can exchange ideas https:// twitter.com/earlconf/statu s/919510170165760001 …";;;#EARLConf;"919705248796696576";https://twitter.com/kosinski_rblog/status/919705248796696576
dmi3k;2017-10-15 14:28;0;1;"To live-tweet? #EARLconf Flight from would be too expensive for me, though";;;#EARLconf;"919555470549049346";https://twitter.com/dmi3k/status/919555470549049346
earlconf;2017-10-15 11:28;0;2;"Want to come to EARL Boston for FREE? Just tweet to tell us why you should come - include #EARLConf . Closes today! pic.twitter.com/qzhpEyUbao";;;#EARLConf;"919510170165760001";https://twitter.com/earlconf/status/919510170165760001
earlconf;2017-10-14 20:27;2;1;"Why do you want to come to EARL Boston? Tweet us why and you could win a 2-day pass. Make sure to use #EARLConf to enter!";;;#EARLConf;"919283418533265408";https://twitter.com/earlconf/status/919283418533265408
MangoTheCat;2017-10-14 17:15;0;0;"EARL Boston must-see sessions and 15% off!: https:// goo.gl/ir97eV #EARLConf #rstats pic.twitter.com/TvhxduJtEg";;;#EARLConf #rstats;"919235109764698113";https://twitter.com/MangoTheCat/status/919235109764698113
ChristineIyer;2017-10-14 17:10;0;0;"I hope I win the pass...I wonder what the odds are? #EARLConf https:// twitter.com/christineiyer/ status/918423709458759680 …";;;#EARLConf;"919234029404278784";https://twitter.com/ChristineIyer/status/919234029404278784
MustardBethan;2017-10-13 16:41;1;2;"AND because I got so excited at the prospect of it I forgot to include the #EARLconf hashtag in my reply! #numpty";;;#EARLconf #numpty;"918864162574385154";https://twitter.com/MustardBethan/status/918864162574385154
earlconf;2017-10-13 14:05;0;0;"Winning a 2-day EARL Boston pass couldn’t be simpler. Just tweet us why you should come, be sure to use #EARLConf to enter pic.twitter.com/S4fVo25YcW";;;#EARLConf;"918824905759604736";https://twitter.com/earlconf/status/918824905759604736
earlconf;2017-10-12 20:43;0;6;"We are delighted to have @MariannaFoos keynoting at EARL Boston on behalf of @RLadiesBoston http:// bit.ly/2d76nho #EARLConf pic.twitter.com/3dYBOpO4vK";;@MariannaFoos @RLadiesBoston;#EARLConf;"918562677273882626";https://twitter.com/earlconf/status/918562677273882626
earlconf;2017-10-12 11:56;7;12;"Join @frlazzeri to hear her talk on one of the biggest trends in #MachineLearning – deep learning: https:// goo.gl/TA69Ju #EARLConf pic.twitter.com/i7S8OUw6gA";;@frlazzeri;#MachineLearning #EARLConf;"918430172097007616";https://twitter.com/earlconf/status/918430172097007616
earlconf;2017-10-11 16:25;3;0;"Win a 2-day Boston EARL pass. Tweet us why you should go – best answer wins. Use #EARLConf to enter. pic.twitter.com/4Op3xnlbax";;;#EARLConf;"918135364296028161";https://twitter.com/earlconf/status/918135364296028161
MangoTheCat;2017-10-11 11:15;0;0;"EARL Boston must-see sessions and 15% off!: https:// goo.gl/ir97eV #EARLConf #rstats pic.twitter.com/OyXuyRBhLC";;;#EARLConf #rstats;"918057345766313984";https://twitter.com/MangoTheCat/status/918057345766313984
RLadiesBoston;2017-10-11 00:28;9;9;"Just announced a pre #EARLconf meetup for 10/31 I want to catch all the R-Ladies in town for the conference!";;;#EARLconf;"917894749780144133";https://twitter.com/RLadiesBoston/status/917894749780144133
EmilyRiederer;2017-10-10 17:36;1;3;"Don't miss a chance to win free tickets to #EARLConf Boston or MANGO15PC for a 15% discount! https:// twitter.com/earlconf/statu s/917727676034703360 …";;;#EARLConf;"917790950927237122";https://twitter.com/EmilyRiederer/status/917790950927237122
earlconf;2017-10-10 16:38;2;1;"EARL Boston must-see sessions and 15% off!: https:// goo.gl/ir97eV #EARLConf #rstats pic.twitter.com/oMS0wsEyt9";;;#EARLConf #rstats;"917776405735362562";https://twitter.com/earlconf/status/917776405735362562
earlconf;2017-10-10 13:25;2;3;"Why do you want to come to Boston EARL? Tweet us why and you could win a 2-day pass. Make sure to use #EARLConf to enter! pic.twitter.com/yDZ1RfRpxI";;;#EARLConf;"917727676034703360";https://twitter.com/earlconf/status/917727676034703360
earlconf;2017-10-09 17:18;7;2;"Want to come to Boston EARL for FREE? Just tweet to tell us why you should come - include #EARLConf . Closes 15 Oct pic.twitter.com/0XPwaPQvvG";;;#EARLConf;"917424152860127232";https://twitter.com/earlconf/status/917424152860127232
AlFirrell;2017-09-14 16:32;1;1;"Oooh, @jcheng introduces Async programming for Shiny. Happy days! #rstats #EARLConf";;@jcheng;#rstats #EARLConf;"908352685056946176";https://twitter.com/AlFirrell/status/908352685056946176
JennyBryan;2017-09-14 16:31;2;31;"I really love that @jcheng wears his Shiny shirt for talks. Hearing about async programming at #EARLConf #rstats pic.twitter.com/x4yosdB2oB";;@jcheng;#EARLConf #rstats;"908352457448804352";https://twitter.com/JennyBryan/status/908352457448804352
dougashton;2017-09-14 14:08;1;2;""An updated dataset is not a version. It's a new data set" - @revodavid on should you version control data #earlconf";;@revodavid;#earlconf;"908316624087928832";https://twitter.com/dougashton/status/908316624087928832
