username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
nibrivia;2017-10-12 15:35;1;1;"About to graduate MIT and starting a data consultancy to help small bizs develop a data culture thru R tools & teaching #EARLConf2017";;;#EARLConf2017;"918485323834904577";https://twitter.com/nibrivia/status/918485323834904577
ChristineIyer;2017-10-12 11:30;2;7;"Left 25 year career in Nursing to become a Data Analyst and learn R. Just graduated and starting new job soon. #EARLConf2017";;;#EARLConf2017;"918423709458759680";https://twitter.com/ChristineIyer/status/918423709458759680
earlconf;2017-10-12 10:26;0;0;"Tell us why you want to come to EARL Boston and you could win a 2-day pass – easy! Make sure you use #EARLConf2017 pic.twitter.com/ydYlLsAVgn";;;#EARLConf2017;"918407406534709248";https://twitter.com/earlconf/status/918407406534709248
StatLaw;2017-10-11 21:18;0;1;"At the @earlconf #EARLConf2017 @JennyBryan from @rstudio may not have mentioned #Apache #Zeppelin in her talk about ways to manage projects.";;@earlconf @JennyBryan @rstudio;#EARLConf2017 #Apache #Zeppelin;"918209089376841728";https://twitter.com/StatLaw/status/918209089376841728
VizMonkey;2017-10-10 14:41;0;0;"How to do International Development correctly. From my #EARLConf2017 #rstats talk http:// slides.com/amitkohli/earl /live#/ … Find a Unicorn^2 or a diverse team pic.twitter.com/pJC9NrKt5Q";;;#EARLConf2017 #rstats #;"917746849750114304";https://twitter.com/VizMonkey/status/917746849750114304
mathew_jaya;2017-10-07 15:02;4;10;"Excited to be speaking at #EARLConf2017 #Boston on 11/3 with @frlazzeri again this year! https:// twitter.com/earlconf/statu s/910101114317656065 …";;@frlazzeri;#EARLConf2017 #Boston;"916664981155926016";https://twitter.com/mathew_jaya/status/916664981155926016
jahilliar;2017-10-04 18:44;0;1;"OHHH Baby! EARL here we come #EARLConf2017 pic.twitter.com/uv2unGktj7";;;#EARLConf2017;"915633865749815296";https://twitter.com/jahilliar/status/915633865749815296
ThePierLo;2017-09-20 20:38;0;1;"Impressions #EARLConf2017 pic.twitter.com/AZM3txsXMd";;;#EARLConf2017;"910589104982806530";https://twitter.com/ThePierLo/status/910589104982806530
sudaspark;2017-09-20 06:11;3;7;"Excited to be a speaker at #EARLConf2017 #Boston ... Looking forward to it! https:// twitter.com/earlconf/statu s/910101114317656065 …";;;#EARLConf2017 #Boston;"910370825332805632";https://twitter.com/sudaspark/status/910370825332805632
frlazzeri;2017-09-19 23:37;4;8;"@mathew_jaya Excited to be a speaker at #EARLConf2017 #Boston with you again this year! https:// twitter.com/earlconf/statu s/910101114317656065 …";;@mathew_jaya;#EARLConf2017 #Boston;"910271723890778118";https://twitter.com/frlazzeri/status/910271723890778118
MangoTheCat;2017-09-19 12:20;1;1;"The @earlconf Boston speakers have been announced! #EARLConf2017 https:// twitter.com/earlconf/statu s/910101114317656065 …";;@earlconf;#EARLConf2017;"910101389258444800";https://twitter.com/MangoTheCat/status/910101389258444800
